id,name,base_url,api_endpoint,auth_type,auth_header_name,api_secret_name,models_endpoint,discovery_url,description,capabilities,config,is_active,created_at,updated_at,auth_method,provider_type,priority,is_primary,rate_limit_per_minute,supported_languages,last_health_check,health_status,error_count,success_rate,configuration,api_key_encrypted
044b4f5e-5a82-47cb-aac9-740950354f64,OpenAI,https://api.openai.com,https://api.openai.com/v1,bearer,Authorization,,https://api.openai.com/v1/models,,OpenAI GPT models,{},{},t,2025-10-12 11:37:09.253462+00,2025-10-12 11:37:09.33065+00,api_key,openai,1,f,60,{en},,unknown,0,100.00,{},
9669c895-235f-4d20-ad96-5a36f05332f9,Google Gemini,https://generativelanguage.googleapis.com,https://generativelanguage.googleapis.com/v1beta,bearer,Authorization,,,,Google Gemini AI models,{},{},t,2025-10-12 11:37:09.253462+00,2025-10-12 11:37:09.33065+00,api_key,google,1,f,60,{en},,unknown,0,100.00,{},
c21e18d4-0e66-4c93-9847-7b8abb2307a6,DeepSeek,https://api.deepseek.com,https://api.deepseek.com/v1,bearer,Authorization,,https://api.deepseek.com/v1/models,,DeepSeek AI models,{},{},t,2025-10-12 11:37:09.253462+00,2025-10-12 11:37:09.33065+00,api_key,deepseek,1,f,60,{en},,unknown,0,100.00,{},
