id,name,base_url,api_endpoint,auth_type,auth_header_name,api_secret_name,models_endpoint,discovery_url,description,capabilities,config,is_active,created_at,updated_at,auth_method,provider_type,priority,is_primary,rate_limit_per_minute,supported_languages,last_health_check,health_status,error_count,success_rate,configuration,api_key_encrypted
4739161c-e49c-49dd-ba1a-a2f7df61fe93,OpenAI,https://api.openai.com,https://api.openai.com/v1,bearer,Authorization,,https://api.openai.com/v1/models,,OpenAI GPT models,{},{},t,2025-10-12 16:14:16.434696+00,2025-10-12 16:14:16.484734+00,api_key,openai,1,f,60,{en},,unknown,0,100.00,{},
e685d338-7c06-4792-9284-fd4233d42e40,Google Gemini,https://generativelanguage.googleapis.com,https://generativelanguage.googleapis.com/v1beta,bearer,Authorization,,,,Google Gemini AI models,{},{},t,2025-10-12 16:14:16.434696+00,2025-10-12 16:14:16.484734+00,api_key,google,1,f,60,{en},,unknown,0,100.00,{},
e34749e0-e85e-4040-8cb0-1f0836efb311,DeepSeek,https://api.deepseek.com,https://api.deepseek.com/v1,bearer,Authorization,,https://api.deepseek.com/v1/models,,DeepSeek AI models,{},{},t,2025-10-12 16:14:16.434696+00,2025-10-12 16:14:16.484734+00,api_key,deepseek,1,f,60,{en},,unknown,0,100.00,{},
