id,name,base_url,api_endpoint,auth_type,auth_header_name,api_secret_name,models_endpoint,discovery_url,description,capabilities,config,is_active,created_at,updated_at,auth_method,provider_type,priority,is_primary,rate_limit_per_minute,supported_languages,last_health_check,health_status,error_count,success_rate,configuration,api_key_encrypted
a6a760e1-dbd9-46b2-8a2a-239bed7a9f99,OpenAI,https://api.openai.com,https://api.openai.com/v1,bearer,Authorization,,https://api.openai.com/v1/models,,OpenAI GPT models,{},{},t,2025-10-12 14:55:24.430855+00,2025-10-12 14:55:24.475717+00,api_key,openai,1,f,60,{en},,unknown,0,100.00,{},
8383c2a0-b8d1-45c3-b288-7e21e6d8f95d,Google Gemini,https://generativelanguage.googleapis.com,https://generativelanguage.googleapis.com/v1beta,bearer,Authorization,,,,Google Gemini AI models,{},{},t,2025-10-12 14:55:24.430855+00,2025-10-12 14:55:24.475717+00,api_key,google,1,f,60,{en},,unknown,0,100.00,{},
3e968b92-7f56-4527-8c4e-00993a4f4b3f,DeepSeek,https://api.deepseek.com,https://api.deepseek.com/v1,bearer,Authorization,,https://api.deepseek.com/v1/models,,DeepSeek AI models,{},{},t,2025-10-12 14:55:24.430855+00,2025-10-12 14:55:24.475717+00,api_key,deepseek,1,f,60,{en},,unknown,0,100.00,{},
ef21a950-cdf6-4ad0-980d-3ea8a693c3c9,test_systematic_fix,,https://test.example.com,bearer,Authorization,,,,,{},{},t,2025-10-12 14:57:59.524023+00,2025-10-12 14:57:59.524023+00,api_key,test,1,f,60,{en},,unknown,0,100.00,{},
